Name, Gender, Country, Birthplace, Latitude, Longitude, Born, Died, Biography, Picture, Source
"Maurice Karnaugh", "Male", "USA", "New York City, New York", "", "", "1924", "", "An American physicist and mathematician.", "maurice_karnaugh.jpg", "https://en.wikipedia.org/wiki/Maurice_Karnaugh"
"Jacek Karpiński", "Male", "Poland", "Biała Podlaska", "", "", "1927", "2010", "A Polish engineer and early computer scientist.", "jacek_karpinski.jpg", "https://en.wikipedia.org/wiki/Jacek_Karpi%C5%84ski"
"Alan Kay", "Male", "USA", "Springfield, Massachusetts", "", "", "1940", "", "An American computer scientist and programming pioneer.", "alan_kay.jpg", "https://en.wikipedia.org/wiki/Alan_Kay"
"Stephen Cole Kleene", "Male", "USA", "Hartford, Connecticut", "", "", "1909", "1994", "An American mathematician and pioneering theoretical computer scientist.", "stephen_cole_kleene.jpg", "https://en.wikipedia.org/wiki/Stephen_Cole_Kleene"
"Donald Knuth", "Male", "USA", "Milwaukee, Wisconsin", "", "", "1938", "", "An American mathematician and computer scientist.", "donald_knuth.jpg", "https://en.wikipedia.org/wiki/Donald_Knuth"
"Leslie Lamport", "Male", "USA", "New York City, New York", "", "", "1941", "", "An American computer scientist.", "leslie_lamport.jpg", "https://en.wikipedia.org/wiki/Leslie_Lamport"
"Sergey Lebedev", "Male", "Russia", "Nizhny Novgorod", "", "", "1902", "1974", "A Soviet electrical engineer and computer scientist.", "sergey_lebedev.jpg", "https://en.wikipedia.org/wiki/Sergey_Lebedev_(scientist)"
"Gottfried Wilhelm Leibniz", "Male", "Germany", "Leipzig", "", "", "1646", "1716", "A German polymath, philosopher and proto-computer scientist.", "gottfried_wilhelm_leibniz.jpg", "https://en.wikipedia.org/wiki/Gottfried_Wilhelm_Leibniz"
"J. C. R. Licklider", "Male", "USA", "St. Louis, Missouri", "", "", "1915", "1990", "An American psychologist and computer scientist.", "jcr_licklider.jpg", "https://en.wikipedia.org/wiki/J._C._R._Licklider"
"Ramon Llull", "Male", "Majorca", "Palma", "", "", "1232", "1315", "A Majorcan logician and philosopher.", "ramon_llull.jpg", "https://en.wikipedia.org/wiki/Ramon_Llull"
"Ada Lovelace", "Female", "England", "London", "", "", "1815", "1852", "An English mathematician and technical writer.", "ada_lovelace.jpg", "https://en.wikipedia.org/wiki/Ada_Lovelace"
"John Mauchly", "Male", "USA", "Cincinnati", "", "", "1907", "1980", "An American physicist and early computer businessman.", "john_mauchly.jpg", "https://en.wikipedia.org/wiki/John_Mauchly"
"John McCarthy", "Male", "USA", "Boston, Massachusetts", "", "", "1927", "2011", "A computer scientist and cognitive scientist.", "john_mccarthy.jpg", "https://en.wikipedia.org/wiki/John_McCarthy_(computer_scientist)"
